SRC	TGT
Westbrook has lectured at Yale School of Art , Carnegie Mellon University , Cooper Union , Hartford Art School at the University of Hartford , the University of Wisconsin - Madison .	韦 斯 特 布 鲁 克 在 耶 鲁 艺 术 学 院 、 卡 内 基 梅 隆 大 学 、 库 珀 联 盟 、 哈 特 福 德 艺 术 学 院 、 威 斯 康 辛 - 马 迪 森 大 学 教 授 。
The third and four seed would play a one game wild card to advance to the semi-final matchup vs the two seed, which was also a best-of-one.	第三名和四名种子将用一局野牌晋级半决赛对阵两名种子,这也是最好的一局。
The fossil specimen of the peculiar animal, Cuvier observed, contained nine teeth leading from the last three-pointed molar to the lateral incisors.	库维尔观察到,这种独特的动物的化石样本包含了9颗从最后一个三点<unk>到侧面<unk>的牙齿。
Instead, a statue dedicated to former-Iraqi President Saddam Hussein was erected with 37 columns, symbolizing Saddam's birth in 1937.	相反,一座致以前伊拉克总统萨达姆·侯赛因的雕像建造了37个柱子,象征着萨达姆1937年出生。
It provides a range of music options with a library of over 72 million songs, including both Arabic and international music.	它提供一系列音乐选项,拥有超过7200万首歌曲的库,包括阿拉伯和国际音乐。
This platform enables donors to provide helpful items to those in need, while also dedicating the gesture to a loved one.	该平台允许捐赠者向需要的人提供有用的物品,同时还将手势献给亲人。
The Japanese meanwhile put out bounties to encourage the Burmese to turn Darkie in, and begin torching villages suspected of being friendly to the troop.	与此同时,日本人提出了限制,鼓励缅甸人转向达尔基,并开始推翻涉嫌对军队友好的村庄。
By the 1920s, the 78 RPM records were a common medium for broadcast in Australia as well as many other parts of the world.	到20世纪20年代,RPM 78是澳大利亚和其他世界许多地方的广播媒介。
Abrykosivka (Ukrainian: Абрикосівка; Old Polish: Beznoskowce) (Also known as Bezniskivtsi (Ukrainian: Безнісківці) until 1966) is a village in the Kamianets-Podilskyi Raion of the Khmelnytskyi Oblast of Ukraine.	阿布里科西夫卡(烏克蘭語:Абрикосівка;古波蘭語:Бе茲諾斯科夫斯)(烏克蘭語: Безнісківці)是烏克蘭克梅爾尼茨基州卡米涅茨-波迪爾斯基區(英语:Kamianets-Podilskyi Raion)的一个村莊。
The Bureau of Land Management manages federal lands in the United States, including the land that the project is being proposed for.	美国土地管理局管理联邦土地,包括拟议的土地。
Pulmonary Care Excellence Award 2023 - AdventHealth Dade City received the Pulmonary Care Excellence Award from Healthgrades for its excellence in COPD and pneumonia care.	肺部护理卓越奖 2023年 - AdventHealth 达德市因其在 COPD 和肺炎护理方面的卓越而获得Healthgrades的肺部护理卓越奖。
After the closure of the coalfields, the stables opposite the old shaft were bought by a private owner before being destroyed by fire.	在煤田关闭后,旧井对面的车站由私人业主购买,然后被火灾摧毁。
At the ambush at Shala bridge, forces were strategically deployed on both flanks of the road, complemented by engineering efforts such as road demolition and the placement of obstructions.	在沙拉桥的伏击中,部队在道路两侧进行了战略部署,并进行了诸如拆除道路和设置障碍物等工程努力。
In the north, that goes through is the road from Patsho Village to Kingnyu village that connects with Thonoknyu to Noklak road at Sanglau Village.	在北面,穿过的是从帕什奥村到金牛村的道路,连接到桑格劳村的托诺克牛至诺克拉克公路。
Pulmonary Care Excellence Award 2023 - AdventHealth Dade City received the Pulmonary Care Excellence Award from Healthgrades for its excellence in COPD and pneumonia care.	肺护理卓越奖2023 - AdventHealth Dade City 获得了肺护理卓越奖从 Healthgrades 为其在COPD和肺炎护理方面的卓越。
A 1939 pamphlet from the company celebrating their 47th anniversary would place the establishment date in 1892.	该公司的1939年纪念47周年小册子将成立日期放到1892年。
His highest-grossing releases came with the comedy-drama Lage Raho Munna Bhai (2006), the drama film My Name Is Khan (2010) and the romantic comedy Tanu Weds Manu: Returns (2015), all of which rank among the highest-grossing Indian films of all time.	他的收入最高的影片包括喜剧《Lage Raho Munna Bhai》(2006年)、喜剧《My Name Is Khan》(2010年)和浪漫喜剧《Tanu Weds Manu: Returns》(2015年)。
The future considerations were cancelled in subsequent trade on October 3, 1989, involving Pete Peeters and Keith Acton.	未来考虑在随后的交易中于1989年10月3日被取消,其中包括Pete Peeters和Keith Acton。
He has received Stardust Awards for Best Actor In A Comic Role for the comedy Pyaar Ka Punchnama 2 and Zee Cine Awards for Best Actor in a Comic Role for his performance in Sonu Ke Titu Ki Sweety and Pati Patni Aur Woh.	他因出演《Sonu Ke Titu Ki Sweety》和《Pati Patni Aur Woh》而获得最佳喜剧角色奖和最佳喜剧角色奖。
The original Samoobrona started fracturing in March 2006, when Self-Defence Social Movement (Polish: Samoobrona Ruch Społeczny) was founded and organised its first convention in Czosnów near Warsaw.	原来的Samoobrona在2006年3月开始破裂,当时自卫社会运动(波兰语:Samoobrona Ruch Społeczny)成立并在华沙附近的Czosnów举办了第一届大会。
"Revolver wrote that it was ""her painful, gripping lyricism that truly sets her apart in a crowded field"", while Earmilk described Birth of Venus as ""empowering EDM anthems that aim to be a voice for women’s safety at clubs and shows""."	Revolver写道,“她痛苦的、令人感动的歌词在拥挤的领域中真正使她分开”,而Earmilk则形容《金星的诞生》是“增强EDM的国歌,旨在成为妇女在俱乐部和秀中的安全的声音”。
He previously coached for Little Axe High School, Moore High School, Durant High School, Bartlesville High School, and Westmoore High School.	此前他曾为小阿克斯高中、穆尔高中、杜兰特高中、巴特尔斯维尔高中和韦斯特莫尔高中教练。
The game takes place in an alternate history where, one hundred years prior to the present, humanity began developing various superpowers, that were used to both better and hurt society.	游戏发生在一个不同的历史中,人类在一百年前开始发展各种超级力量,这些超级力量被用来改善和伤害社会。
Ramakrishna Mission Brahmananda College of Education at Rahara is a constituent unit of its parent organization, Ramakrishna Mission Boys’ Home, Rahara.	Ramakrishna Mission Brahmananda教育学院在拉哈拉是其母组织,拉哈拉的Ramakrishna Mission Boys’ Home的组成单位。
Between 2005 and 2009, he took his doctorate, focused on the psychopharmacology of the serotonin system, with David Nutt at the University of Bristol.	2005年至2009年,他与布里斯托尔大学的戴维·努特(David Nutt)一起获得了博士学位,主要研究血清素系统的心理药理学。
He has received Stardust Awards for Best Actor In A Comic Role for the comedy Pyaar Ka Punchnama 2 and Zee Cine Awards for Best Actor in a Comic Role for his performance in Sonu Ke Titu Ki Sweety and Pati Patni Aur Woh.	他在喜剧《Pyaar Ka Punchnama 2》和《Zee Cine Awards for Best Actor in a Comic Role》中获得了Stardust奖,因为他在《Sonu Ke Titu Ki Sweety》和《Pati Patni Aur Woh》中的表现。
He was killed at his last session as senator by fellow senator Arnon de Melo , who intended to shoot another senator , Silvestre Péricles , purportedly in self - defense as Pericles was drawing his own gun .	他 在 上 届 参 议 员 会 议 上 被 同 僚 参 议 员 阿 农 · 德 · 梅 洛 ( A r n o n d e M e l o ) 杀 害 , 他 打 算 开 枪 射 杀 另 一 位 参 议 员 西 尔 文 斯 特 · 佩 里 克 尔 ( S i l v e s t r e P é r i c l e s ) , 据 称 是 为 了 自 卫 , 因 为 佩 里 克 尔 正 在 画 自 己 的 枪 。
Aristorenas signed with United City in 2020, a club that had once been Ceres–Negros but had undergone a change in management.	阿里斯托雷纳斯于2020年与曼联签约,该俱乐部曾经是塞雷斯-尼格罗斯,但已经在管理上发生了变化。
The earliest description of the Territory in print is thought to have appeared in the 1688 Historia de Yucathan by Diego López de Cogolludo, who credited this information to Bartolomé de Fuensalida, a Franciscan friar who himself likely first got it from an Itza delegation to Tipu in 1618.	1688年,迪戈·洛佩斯·德·科戈利多(Diego López de Cogolludo)在《尤卡坦历史》(Historia de Yucathan)中描述了该领土,他将这一信息归功于巴托洛梅·德·弗恩萨利达(Bartolomé de Fuensalida),一位法兰西斯教徒,他本人可能于1618年从伊扎代表团来到蒂普。
Residents of more than 50 cities and capitals took to the streets to support Ukraine and join the telethon, 30 world political leaders addressed Ukrainians and the international community.	超过50个城市和首都的居民走上街头支持乌克兰并参加电视活动,30位世界政治领导人向乌克兰人和国际社会讲话。
In 2020, he was a member of the jury of the experimental film section of the Message to Man international festival (St. Petersburg).	2020年,他是《向人传达》国际节(圣彼得堡)实验电影部分陪审团的成员。
He has developed an extensive international network , and currently hosts the show Hovedstaden med Pastor Torp on the Christian television station Visjon Norge .	他 已 經 發 展 出 一 個 廣 泛 的 國 際 網 際 網 路 , 現 在 在 基 督 教 電 視 台 V i s j o n N o r g e 主 持 《 H a v e s t a d e n m e d P a s t o r T o r p 》 。
At Bish's disbandment concert on June 29, it was announced that Chihiro would release her first solo album, Per→cent→age, in August.	在6月29日的Bish解散演唱会上,宣布Chihiro将在8月发行首张单曲《Per→cent→age》。
Intercidades trains between Gare do Oriente and Faro stop at Sete Rios Station thrice daily in both directions.Urban service trains stop at Sete Rios Station at approximately 30-minute intervals on weekends and off-peak periods on weekdays.	Gare do Oriente 和 Faro 之间的 Intercidades 列车在 Sete Rios 火车站每日三次停车,在 Sete Rios 火车站的城市服务列车在周末和周末约30分钟间隔停车。
Further stations were from October/November 1998 as Sandy Cay for C. Rehder Schiffsmakler und Reederei in Limassol, from July 1999 as Nordica for Unisand Shipping Company in Limassol under management of N.C. Schiffahrtsbüro in Bremerhaven and chartering by Wilhelm Tietjen Befrachtungsgesellschaft in Hamburg, from October 2004 Lady Rea for Rea Maritime Corporation in Panama and finally from August 2006 as Evgeniy Vasilyev for Dream Hills Trading in Panama under management of DSL Shipping in Limassol.	从1998年10月至11月,C. Rehder Schiffsmakler und Reederei担任 Sandy Cay,从1999年7月担任 Nordica,由N.C. Schiffahrtsbüro管理,并由Wilhelm Tietjen Befrachtungsgesellschaft(英语:Wilhelm Tietjen Befrachtungsgesellschaft)在汉堡租船,从2004年10月担任 Lady Rea,由Rea Maritime Corporation(英语:Rea Maritime Corporation)管理,最后从2006年8月担任 Evgeniy Vasilyev,由Dream Hills Trading(英语:Dream Hills Trading)管理,并由DSL Shipping(英语:DSL Shipping)管理。
HumanIPO is now used by creators, entrepreneurs, venture capitalists, YouTube creators, writers, musicians, and professional athletes.	HumanIPO现在被创建者、企业家、风险资本家、YouTube创建者、作家、音乐家和专业运动员使用。
At the end of the championship, the winning team enters the Cork Junior B Inter-Divisional Hurling Championship and by winning this, they will be promoted to the Duhallow Junior A Hurling Championship for the following season.	在賽季結束後,勝出隊伍進入科克 Junior B Inter-Divisional Hurling Championship(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Divisional Hurling Championship)(英语:Cork Junior B Inter-Di
Among the winners are Charlie Chaplin, Manoel de Oliveira, Stanley Kubrick, Alida Valli, Sophia Loren and many other figures of international film.	获奖者包括查理·查普林、曼诺埃尔·德·奥利维埃拉、斯坦利·库布里克、阿里达·瓦利、索菲亚·洛伦和许多其他国际影坛人物。
"Esch wrote that Skálmöld here appears ""more serious and mystical than ever"" and although it is far from the band's best album, it shows that Skálmöld still can surprise listeners."	埃什写道,斯卡尔米尔德在这里看起来“比以往任何时候都更严肃和神秘”,尽管它远离乐队的最佳专辑,但它表明斯卡尔米尔德仍然能让听众感到惊讶。
His videos involve a degree of comedy too, both during videos but also in separate series, such as Gun Meme Review or the Darwin Awards Series.	他的影片也包含了一定程度的喜剧,包括在影片中,但也包括在单独的系列中,如《 Gun Meme Review》或《达尔文奖》系列。
Alanna Dummett was elevated into the main squad to replace the Felice Quinlan, who suffered a season-ending ankle injury.	阿兰娜·邓梅特被提升到主队,以取代费利斯·昆兰,后者伤了终季的踝关节。
Among the winners are Charlie Chaplin, Manoel de Oliveira, Stanley Kubrick, Alida Valli, Sophia Loren and many other figures of international film.	获奖者包括Charlie Chaplin、Manoel de Oliveira、Stanley Kubrick、Alida Valli、Sophia Loren和许多其他国际电影人物。
On the Chutzen, as well as on the Gurten and the Bantiger, there has been an important watchtower in old Bern since the early modern period.	在楚琴河、古尔滕河和班提格河上,自现代早期以来,在旧伯恩有一个重要的守卫塔。
In 2020, he was a member of the jury of the experimental film section of the Message to Man international festival (St. Petersburg).	2020年,他成为国际信人节(圣彼得堡)实验电影节的陪审团成员。
Humanization practices can lead to dilemmas, such as cosmetic surgeries for pets or extreme grooming practices.	人文化做法可能会导致分歧,如宠物的化妆手术或极端的种植做法。
The significance of Karma Sannyasa Yoga lies in its teachings about finding a middle path between active participation in the world (Karma Yoga) and the renunciation of worldly attachments (Sannyasa).	Karma Sannyasa瑜伽的意义在于它关于在积极参与世界(Karma Yoga)和放弃世俗的附念(Sannyasa)之间找到中间之路的教导。
The Koontz family, in search of prosperity on the open frontier, began a pioneer journey on the Oregon Trail in 1847; Nicolas perished due to drowning in the Snake River.	Koontz家族在寻找开放边境的繁荣,于1847年开始了俄勒冈之路的开拓之旅;尼古拉斯因在蛇河中溺水而丧生。
In 2022, the kids categories were presented at the 50th International Emmy Awards alongside rest of the categories.	2022年,儿童类别在第50届国际艾米奖赛上与其他类别一起被提名。
Danny is later selected for SBS missions in the Aegean Sea and fighting along partisans on Crete and in raids in Yugoslavia.	后来,丹尼被选为SBS在爱琴海的任务,并在克里特岛和南斯拉夫的游击队一起战斗。
On 30 April 1992, it was renamed the Honolulu Office of the North American Affairs Coordinating Committee and October 10, it was finally renamed the Taipei Economic and Cultural Office in Honolulu.	1992年4月30日,该办事处改名为北美洲事务协调委员会的檀香山办事处,10月10日,最终改名为檀香山台北经济文化办事处。
This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2015.	这是2015年《告示牌》主流音乐排行榜(英语:Billboard Mainstream Top 40 (or Pop Airplay))排名前10名的歌曲列表。
David Wood, who teaches at Seton Hall University, developed the application of the framework to conflict transformation.	在塞顿霍尔大学教授的大卫·伍德(David Wood)开发了框架对冲突转变的应用。
His father Herman Prioleau Hamilton was president of Hamilton & Company of Chester, an investment bank that sold municipal bonds.	他的父亲赫尔曼·普里奥·汉密尔顿(Herman Prioleau Hamilton)是开斯特汉密尔顿公司(Hamilton & Company of Chester)的董事长,一家投资银行出售市政债券。
In 1963 on the occasion of Republic Day (26 January 1963) remembered by Lata Mangeshkar by a song Aye Mere Watan Ke Logo in presence of Prime minister of India Jawaharlal Nehru	1963年,庆祝共和国日(1963年1月26日),由Lata Mangeshkar在印度总理Jawaharlal Nehru面前歌唱Aye Mere Watan Ke Logo。
38-42: Krishna concludes the chapter by encouraging Arjuna to rise above doubts and practice the teachings he has received.	38-42: 克里斯纳通过鼓励阿尔贡超越怀疑并实践他所接受的教诲来结束章节。
"Clementine Churchill, who admired de Gaulle, once cautioned him, ""General, you must not hate your friends more than you hate your enemies."""	克莱门丁·丘吉尔(Clementine Churchill)曾经警告道:“将军,你不应该恨你的朋友,而不是恨你的敌人。
The studio is being overseen by former Entertainment One executives Olivier Dumont as president, Zev Foreman as head of film, and Gabriel Marano as head of television.	該工作室由前娛樂公司執行員奧利維埃·杜蒙特(Olivier Dumont)擔任主席、澤夫·福爾曼(Zev Foreman)擔任電影主管及加布里埃爾·馬拉諾(Gabriel Marano)擔任電視主管負責監督。
Arthur E. was also arrested at the same time.The German-Russian businessman Arthur E. is said to have helped the suspected spy Carsten Linke to bring secret documents from the Federal Intelligence Service to Moscow.	据说德国-俄罗斯商人亚瑟·E.帮助了被怀疑的间谍卡斯滕·林克(Carsten Linke)从联邦情报局运送秘密文件到莫斯科。
This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2016.	此分類上一篇: 2016 年 Billboard Mainstream Top 40 (或 Pop Airplay) 格式上排名第 10 的歌曲列表
This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2017.	这首歌是2017年《告示牌》主流音乐排行榜(英语:Billboard Mainstream Top 40)的第10名歌曲。
"While the overall prevalence of HIV/AIDS is low in Algeria, public understanding of the disease and how it is transmitted has been described as ""mediocre"" among the population, particularly among young people."	虽然艾滋病毒/艾滋病的普遍发病率在阿尔及利亚很低,但公众对该疾病的理解以及它是如何传播的被描述为“中等”的人口,尤其是年轻人。
Pulmonary Care Excellence Award 2023 - AdventHealth Dade City received the Pulmonary Care Excellence Award from Healthgrades for its excellence in COPD and pneumonia care.	肺部护理卓越奖2023 - AdventHealth Dade City因其在COPD和肺炎治疗方面的卓越而获得了健康等级的肺部护理卓越奖。
In automotive design, rear-motor, rear-wheel-drive is mainly used on battery electric vehicles by placing a single electric motor on the rear axle of the automobile, which creates a four-wheel drive layout.	在汽车设计中,后发动机,后轮驱动主要用于电动电动车辆,将单一电动发动机放在车辆的后轴上,创造了四轮驱动配置。
Elisabeth de Dampierre (d. after March 1228), who married Geoffrey I of Aspremont, son of Gobert V, lord of Aspremont, and Ida de Chiny, with whom she had four children (including Jean d'Apremont who was bishop of Verdun then Metz and Blessed Gobert d'Aspremont);	伊丽莎白·德·邓皮埃尔(死于1228年3月后),谁结婚了阿斯普雷蒙特的乔弗雷一世,哥伯特五世的儿子,阿斯普雷蒙特的国王,和伊达·德·中国,与谁她有四个孩子(包括珍·德·阿普雷蒙特,当时是弗尔登的主教梅茨和祝福的哥伯特·阿斯普雷蒙特);
Perry moved to California to play with Alphonso Johnson (Weather Report, Santana) after being recommended by Pat Thrall who liked his style of playing, in that band he played with Vinny Appice, who would join Black Sabbath.	佩里搬到加利福尼亚州与Alphonso Johnson(天气报告,桑塔纳)一起演奏后,被喜欢他的演奏风格的Pat Thrall推荐,在那个乐队中他与Vinny Appice一起演奏,他将加入黑色安息日。
She has moderated numerous public and company events including the Digital Summit Liechtenstein, over the past years, and in 2022 she was co-moderating the Audi Stage during the Bits & Pretzels.	在过去几年中,她主持了数次公共和公司活动,包括数码首脑会议列支敦士登,并于2022年在比特和普特泽尔期间共同主持了奥迪舞台。
His works are exhibited in the United States, the United Kingdom, Canada, Germany, the Netherlands, Italy, Spain, South Africa, Brazil, Mexico, Australia, New Zealand, the United Arab Emirates, Saudi Arabia, Singapore, and many others.	他的作品展出在美国,英国,加拿大,德国,荷兰,意大利,西班牙,南非,巴西,墨西哥,澳大利亚,新西兰,阿拉伯联合酋长国,沙特阿拉伯,新加坡和许多其他。
When Monsignor Théas left the diocese, Monsignor Courrèges took over and, on February 1, 1950, set up a new commission to evaluate the 4 alleged visionaries.	1950年2月1日,提亞斯主教離開教區後,庫雷格斯主教接管了教區,並成立一個新的委員會,以調查4位被指控的先知。
He has received Stardust Awards for Best Actor In A Comic Role for the comedy Pyaar Ka Punchnama 2 and Zee Cine Awards for Best Actor in a Comic Role for his performance in Sonu Ke Titu Ki Sweety and Pati Patni Aur Woh.	他获得了《漫画中的最佳演员奖》(Stardust Awards for Best Actor in a Comic Role)和《漫画中的最佳演员奖》(Zee Cine Awards for Best Actor in a Comic Role)在《漫画中的最佳演员奖》(Sonu Ke Titu Ki Sweety)和《漫画中的最佳演员奖》(Pati Patni Aur Woh)。
In 2020, he was a member of the jury of the experimental film section of the Message to Man international festival (St. Petersburg).	2020年,他是《向人传递讯息》国际电影节(圣彼得堡)实验电影部门的陪审团成员。
These shows often included him dressing up in hypermasculine archetypes (such as a biker) and using prosthetics to have sex with his partner at the time.	这些节目经常包括他穿上超级男性的原型(如自行车手)和使用假装来与当时的伴侣发生性关系。
"As an actor , Sherman made appearances in television shows such as The Marvelous Mrs . Maisel "" and "" Orange Is the New Black ""."	作 为 一 名 演 员 , 谢 尔 曼 出 演 了 电 视 节 目 , 如 《 玛 塞 尔 夫 人 奇 特 》 ( T h e M a r v e l o u s M r s . M a i s e l ) 和 《 O r a n g e I s t h e N e w B l a c k 》 。
In 2022, she engaged herself in social service and publicly praised the developmental initiatives of Ashok Gehlot from public platforms.	2022年,她开始从事社会服务,并从公共平台上公开赞扬Ashok Gehlot的发展举措。
The 2023 Nürburgring Langstrecken Series is the 46th season of the German endurance series (formerly VLN) run at the Nürburgring Nordschleife, and fourth run as the Nürburgring Langstrecken Serie (NLS).	2023年Nürburgring Langstrecken系列是德国耐力系列(以前是VLN)第46季在Nürburgring Nordschleife上运行,第四季是Nürburgring Langstrecken系列(NLS)。
However, The Sonoma Stompers won the first half with a 23-16 record and the second half with a 24-15 record, naming them the outright champion.	然而,Sonoma Stompers在第一半場以23-16分和24-15分的成績贏得冠軍,並將他們命名為全場冠軍。
"The commemoration included a digital deluxe twenty-fifth anniversary edition of her debut album, a digital deluxe twentieth anniversary edition of her third studio album, Moodring (2003), and a remixed and reimagined audio and heel choreography music video of her debut single ""It's All About Me"" (1998) with Brian Friedman."	纪念活动包括她的首张专辑的数字豪华50周年专辑,她的第三张录音室专辑Modern (2003)的数字豪华20周年专辑,以及她的首张单曲“It’s All About Me”(1998年)与布莱恩·弗里德曼的混音和重新构思的音频和脚跟舞蹈音乐视频。
In 2007, Coast Guard divers from the Maritime Safety and Security team searched the sea floor for evidence of the lighthouse.	2007年,海上安全和安全团队的海岸警卫队潜水员搜查了海底,寻找灯塔的证据。
This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2015.	此分類上一篇: 2015 年 Billboard Mainstream Top 40 (或 Pop Airplay) 格式上排名第 10 的歌曲列表
In 2007, Coast Guard divers from the Maritime Safety and Security team searched the sea floor for evidence of the lighthouse.	2007年,海岸警卫队(英语:Coast Guard)的潜水员在海底搜寻灯塔的证据。
He was killed at his last session as senator by fellow senator Arnon de Melo, who intended to shoot another senator, Silvestre Péricles, purportedly in self-defense as Pericles was drawing his own gun.	他在最后一次参议员会议上被同参议员阿尔诺·德·梅洛(Arnon de Melo)杀死,他打算射击另一个参议员,西尔维斯特·佩里克尔斯(Silvestre Péricles),因为佩里克尔斯(Péricles)正在绘制自己的枪。
Gabrijel Rukavina is a Croatian professional footballer who plays as a forward for Prva HNL club Dinamo Zagreb, and the Croatia national under-19 football team.	加布里耶爾·魯卡維納(英语:Gabriel Rukavina)是一位克羅埃西亞職業足球運動員,司職前鋒,現效力於國家足球甲級聯賽球隊丹納摩·薩格勒布(英语:Dinamo Zagreb)和克羅埃西亞國家U-19足球隊。
He also coached for Grand Valley State , Muskegon High School , Chesaning High School , Montrose High School , Perry High School , Grand Rapids Community College , and Ferris State .	他 还 为 格 兰 V a l l e y S t a t e 、 M u s k e g o n H i g h S c h o o l 、 C h e s a n i n g H i g h S c h o o l 、 M o n t r o s e H i g h S c h o o l 、 P e r r y H i g h S c h o o l 、 G r a n d R a p i d s C o m m u n i t y C o l l e g e 和 F e r r i s S t a t e 担 任 教 练 。
The men's Scottish hockey National League 5 champions were the winners of the now defunct fifth-tier league in men's hockey in Scotland.	苏格兰男子冰球国家联赛5冠军是苏格兰男子冰球第5联赛的获胜者。
List of Samoa national rugby union players is a list of people who have played for the Samoa national rugby union team.	薩摩亞國家橄欖球運動員列表(英语:List of Samoa national rugby union players)是薩摩亞國家橄欖球隊的球員列表。
The original Samoobrona started fracturing in March 2006, when Self-Defence Social Movement (Polish: Samoobrona Ruch Społeczny) was founded and organised its first convention in Czosnów near Warsaw.	2006年3月,自卫社会运动(英语:Self-Defence Social Movement,波兰语:Samoobrona Ruch Społeczny)成立,并在华沙附近的Czosnów举办了第一次大会。
On the other hand, the finalists of the short film category received a total of ₱100,000 (US$1,785~) each for their finished films.	另一方面,短片类别的决赛选手分别为完成的电影获得了近10万美元(1785美元)。
Urrutia's teammate Ma Qing Hua won the second race after leading from the start, scoring his first win of the season.	乌鲁提亚的队友马庆华从一开始就领先,在第二场比赛中取得了他的第一个胜利。
